epoch,train_loss,train_acc,train_f1,val_loss,val_accuracy,val_f1,learning_rate,epoch_seconds,is_best
1,0.6361524218862707,0.6305333333333333,0.6305104676788976,0.5668136447668075,0.7112,0.70529091786613,0.001,23.445073599999887,1
2,0.5142234367403117,0.7633777777777778,0.7633299061380514,0.4859512563794851,0.7832,0.7826301780539577,0.001,25.87673150000046,1
3,0.4215936360203407,0.8167111111111112,0.816691956552102,0.46054111123085023,0.8064,0.8063400118820806,0.001,25.43662079999922,1
4,0.3385762941007587,0.8614666666666667,0.8614661606931973,0.3920892171561718,0.83,0.82991158123639,0.001,25.1080804000012,1
5,0.2738849687051367,0.8910222222222223,0.8910219733756073,0.4219696022570133,0.8372,0.8370026036331039,0.001,25.102991499999916,1
6,0.2263381800148636,0.9143111111111111,0.9143100813087105,0.40704451575875283,0.842,0.8417416971283851,0.001,25.37809500000003,1
7,0.16553163732169196,0.9399555555555555,0.9399551702011812,0.4494175806641579,0.8324,0.8318651698306244,0.001,25.40324220000184,0
8,0.1219225306942297,0.9583555555555555,0.9583555192785858,0.4617064192891121,0.844,0.843998402543642,0.001,25.26639950000026,1
9,0.08620979114626111,0.9707555555555556,0.9707554437185957,0.5505266353487969,0.8456,0.8454646022659214,0.001,25.187129000001732,1
10,0.059031314979868264,0.9814666666666667,0.9814666051266434,0.7068189516663551,0.8476,0.8475461166994862,0.001,25.25075999999899,1
