epoch,train_loss,train_acc,train_f1,val_loss,val_accuracy,val_f1,learning_rate,epoch_seconds,is_best
1,0.6147567048160867,0.6562666666666667,0.6561399060816446,0.5419687494635582,0.754,0.7537664129699999,0.001,25.207074800000555,1
2,0.47532160415060143,0.7851111111111111,0.7850095630058578,0.4819826498627663,0.786,0.7845796387734746,0.001,25.350976500001707,1
3,0.38568664460696955,0.8393777777777778,0.8393717352994114,0.43042625337839124,0.8232,0.8231886840757808,0.001,24.775707699998748,1
4,0.2920087956484746,0.8846666666666667,0.884666387587802,0.4225769340991974,0.84,0.8399548288508949,0.001,24.740815099998144,1
5,0.20651133235713298,0.9236888888888889,0.9236887247348567,0.4348784275352955,0.8372,0.8371424396238607,0.001,25.06656479999947,0
6,0.13687425629045305,0.9516444444444444,0.9516443695588854,0.4867291033267975,0.842,0.8419234909696293,0.001,25.3226442999985,1
7,0.08706947761344384,0.9709333333333333,0.9709332883194035,0.6327845200896263,0.8356,0.8348807405056426,0.001,24.531950600001437,0
8,0.05861329403970475,0.9818666666666667,0.9818666660935638,0.6925479482859374,0.8444,0.8441556110630446,0.001,24.52479140000287,1
9,0.038351077223276,0.9881777777777778,0.9881777774041371,0.6934001639485359,0.8196,0.819530670902534,0.001,23.88341649999711,0
10,0.02574676979632138,0.9924,0.992399999264395,0.8109264809638261,0.8344,0.8344,0.001,22.935840900001494,0
